                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90611,                  1.066,                 1.1743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01003,              0.0099967,              0.0099967
                      2,                 0.8353,                 0.9471,                 1.1197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097798,              0.0097798,              0.0097798
                      3,                0.79085,                0.87625,                 1.0884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091406,              0.0091406,              0.0091406
                      4,                0.76636,                0.83217,                 1.0712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008145,               0.008145,               0.008145
                      5,                0.74078,                0.80026,                 1.0554,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068906,              0.0068906,              0.0068906
                      6,                0.71598,                 0.7698,                  1.042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0055,                 0.0055,                 0.0055
                      7,                0.69985,                0.74191,                 1.0322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041094,              0.0041094,              0.0041094
                      1,                0.87721,                 1.0295,                 1.1549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050317,              0.0049983,              0.0049983
                      2,                0.82607,                0.93486,                 1.1152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048899,              0.0048899,              0.0048899
                      3,                0.78213,                 0.8625,                 1.0835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045703,              0.0045703,              0.0045703
                      4,                0.75704,                0.81713,                 1.0663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040725,              0.0040725,              0.0040725
                      5,                0.73002,                 0.7859,                 1.0507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034453,              0.0034453,              0.0034453
                      6,                0.70706,                0.75514,                 1.0375,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00275,                0.00275,                0.00275
                      7,                0.69223,                0.72599,                 1.0273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020547,              0.0020547,              0.0020547
                      8,                0.67859,                0.70309,                  1.019,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014275,              0.0014275,              0.0014275
                      9,                 0.6678,                0.68368,                  1.013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092971,             0.00092971,             0.00092971
                     10,                 0.6596,                0.66979,                 1.0083,                0.67849,                0.65141,                0.70037,                0.59195,                0.65842,                 10.085,                0.92466,             0.00061012,             0.00061012,             0.00061012
                      1,                0.83369,                 1.0611,                 1.1345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001033,             0.00099967,             0.00099967
                      2,                0.78684,                0.99597,                  1.107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00098562,             0.00098562,             0.00098562
                      3,                0.76258,                0.95185,                 1.0932,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009433,              0.0009433,              0.0009433
                      4,                 0.6571,                0.66975,                  1.008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087551,             0.00087551,             0.00087551
                      5,                0.64155,                0.63991,                0.99803,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078619,             0.00078619,             0.00078619
                      6,                0.62883,                0.61688,                0.99103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068053,             0.00068053,             0.00068053
                      7,                0.61855,                0.59494,                0.98515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056467,             0.00056467,             0.00056467
                      8,                0.60862,                0.57588,                0.97857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044533,             0.00044533,             0.00044533
                      9,                0.59948,                0.55573,                0.97353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032947,             0.00032947,             0.00032947
                     10,                0.59175,                0.53963,                0.96911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022381,             0.00022381,             0.00022381
                     11,                0.58544,                0.52686,                 0.9655,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013449,             0.00013449,             0.00013449
                     12,                0.58045,                0.51689,                0.96264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.6699e-05,             6.6699e-05,             6.6699e-05
                     13,                0.57806,                0.51104,                0.96145,                0.72203,                0.73082,                0.76949,                0.66194,                0.56833,                0.58444,                0.87761,             2.4384e-05,             2.4384e-05,             2.4384e-05
